,Instrument,Country of Headquarters,Region of Headquarters,NAICS National Industry Name,NAICS Industry Group Name,NAICS Sector Name,GICS Sub-Industry Name,GICS Industry Name,ICB Industry name,ICB Sector name,GICS Industry Group Name,SIC Industry Name,TRBC Industry Name,TRBC Industry Group Name,TRBC Business Sector Name,TRBC Economic Sector Name,TSE33 Main sector name,NAICS Subsector Name,key
0,QA0006929895,Qatar,Asia,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Diversified Banks,Banks,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,QA0006929895
0,EGS60081C014,Egypt,Africa,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Diversified Banks,Banks,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,EGS60081C014
0,QA0007227687,Qatar,Asia,Cement Manufacturing,Cement and Concrete Product Manufacturing,Manufacturing,Construction Materials,Construction Materials,Industrials,Construction and Materials,Materials,,Construction Materials,Construction Materials,Mineral Resources,Basic Materials,,Nonmetallic Mineral Product Manufacturing,QA0007227687
0,QA0007227695,Qatar,Asia,Deep Sea Freight Transportation,"Deep Sea, Coastal, and Great Lakes Water Transportation",Transportation and Warehousing,Marine,Marine,Industrials,Industrial Transportation,Transportation,,Marine Freight & Logistics,Freight & Logistics Services,Transportation,Industrials,,Water Transportation,QA0007227695
0,QA000A0NCQA3,Qatar,Asia,Portfolio Management and Investment Advice,Other Financial Investment Activities,Finance and Insurance,Asset Management & Custody Banks,Capital Markets,Financials,Investment Banking and Brokerage Services,Diversified Financials,,Investment Management & Fund Operators,Investment Banking & Investment Services,Banking & Investment Services,Financials,,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",QA000A0NCQA3
0,QA0001200763,Qatar,Asia,Surgical and Medical Instrument Manufacturing,Medical Equipment and Supplies Manufacturing,Manufacturing,Health Care Supplies,Health Care Equipment & Supplies,Health Care,Medical Equipment and Services,Health Care Equipment & Services,,"Medical Equipment, Supplies & Distribution",Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,,Miscellaneous Manufacturing,QA0001200763
0,QA000A0NA0T7,Qatar,Asia,Cement Manufacturing,Cement and Concrete Product Manufacturing,Manufacturing,Construction Materials,Construction Materials,Industrials,Construction and Materials,Materials,,Construction Materials,Construction Materials,Mineral Resources,Basic Materials,,Nonmetallic Mineral Product Manufacturing,QA000A0NA0T7
0,AU000000QBE9,Australia,Oceania,Direct Property and Casualty Insurance Carriers,Insurance Carriers,Finance and Insurance,Property & Casualty Insurance,Insurance,Financials,Non-life Insurance,Insurance,,Property & Casualty Insurance,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,AU000000QBE9
0,US74727A1043,United States of America,Americas,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Regional Banks,Banks,Financials,Banks,Banks,State Commercial Banks,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,US74727A1043
0,NL0012169213,Netherlands,Europe,Biological Product (except Diagnostic) Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Life Sciences Tools & Services,Life Sciences Tools & Services,Health Care,Medical Equipment and Services,"Pharmaceuticals, Biotechnology & Life Sciences",,Biotechnology & Medical Research,Biotechnology & Medical Research,Pharmaceuticals & Medical Research,Healthcare,,Chemical Manufacturing,NL0012169213
